date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:31:36	60772/60772	---M--	200	added ('OK')	image/png	etag:%2261222b3b-ed64%22	https://templates.envytheme.com/erudex/default/assets/images/homepage-one/header-shape.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/homepage-one/header-shape.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:36	43370/43370	---M--	200	added ('OK')	image/png	etag:%2261222b3b-a96a%22	https://templates.envytheme.com/erudex/default/assets/images/feature-shape/feature-shape-1.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/feature-shape/feature-shape-1.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:37	19474/19474	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:55%20GMT	https://templates.envytheme.com/erudex/default/service-predictive-analytics.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/service-predictive-analytics.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:37	19469/19469	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:54%20GMT	https://templates.envytheme.com/erudex/default/service-deep-learning.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/service-deep-learning.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:37	19464/19464	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:55%20GMT	https://templates.envytheme.com/erudex/default/service-data-mining.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/service-data-mining.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:37	19476/19476	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:56%20GMT	https://templates.envytheme.com/erudex/default/service-statistical-modeling.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/service-statistical-modeling.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:37	19465/19465	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2010:46:55%20GMT	https://templates.envytheme.com/erudex/default/service-security-&-surveillance.html	D:/iot%20template%202/templates.envytheme.com/erudex/default/service-security-&-surveillance.html	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:38	3369/3369	---M--	200	added ('OK')	image/png	etag:%2261222b3f-d29%22	https://templates.envytheme.com/erudex/default/assets/images/process/process-one.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/process/process-one.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:38	2733/2733	---M--	200	added ('OK')	image/png	etag:%2261222b40-aad%22	https://templates.envytheme.com/erudex/default/assets/images/process/process-two.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/process/process-two.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:38	2476/2476	---M--	200	added ('OK')	image/png	etag:%2261222b40-9ac%22	https://templates.envytheme.com/erudex/default/assets/images/process/process-three.png	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/process/process-three.png	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:38	2562/2562	---M--	200	added ('OK')	image/jpeg	etag:%2261222b33-a0a%22	https://templates.envytheme.com/erudex/default/assets/images/testimonial-1.jpg	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/testimonial-1.jpg	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:39	3531/3531	---M--	200	added ('OK')	image/jpeg	etag:%2261222b33-dd3%22	https://templates.envytheme.com/erudex/default/assets/images/testimonial-2.jpg	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/testimonial-2.jpg	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:39	3036/3036	---M--	200	added ('OK')	image/jpeg	etag:%2261222b33-be4%22	https://templates.envytheme.com/erudex/default/assets/images/testimonial-3.jpg	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/testimonial-3.jpg	(from https://templates.envytheme.com/erudex/default/index.html)
02:31:39	3499/3499	---M--	200	added ('OK')	image/jpeg	etag:%2261222b33-db3%22	https://templates.envytheme.com/erudex/default/assets/images/testimonial-4.jpg	D:/iot%20template%202/templates.envytheme.com/erudex/default/assets/images/testimonial-4.jpg	(from https://templates.envytheme.com/erudex/default/index.html)
